frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
68,3.238095,near,,575.000,422.000,4.471327,10.324588,,,,,0,legacy
68,3.238095,far,,494.000,351.000,3.258751,7.430277,,,,,0,legacy
69,3.285714,near,,570.000,422.000,4.395033,10.324588,,,,,0,legacy
69,3.285714,far,,494.000,353.000,3.257997,7.523567,,,,,0,legacy
70,3.333333,near,,563.000,423.000,4.286016,10.360001,,,,,0,legacy
70,3.333333,far,,495.000,352.000,3.275870,7.477020,,,,,0,legacy
71,3.380952,near,,562.000,423.000,4.270785,10.360001,,,,,0,legacy
71,3.380952,far,,495.000,354.000,3.275046,7.569920,,,,,0,legacy
72,3.428571,near,,557.000,424.000,4.192599,10.395284,,,,,0,legacy
72,3.428571,far,,494.000,359.000,3.255774,7.798815,,,,,0,legacy
73,3.476190,near,,550.000,425.000,4.084346,10.430439,,,,,0,legacy
73,3.476190,far,,499.000,362.000,3.340369,7.933898,,,,,0,legacy
74,3.523810,near,,544.000,425.000,3.993292,10.430439,,,,,0,legacy
74,3.523810,far,,500.000,363.000,3.356935,7.978556,,,,,0,legacy
75,3.571429,near,,538.000,424.000,3.903738,10.395284,,,,,0,legacy
75,3.571429,far,,500.000,362.000,3.357506,7.933898,,,,,0,legacy
76,3.619048,near,,524.000,430.000,3.684278,10.604317,,,,,0,legacy
76,3.619048,far,,501.000,362.000,3.374644,7.933898,,,,,0,legacy
77,3.666667,near,,520.000,433.000,3.621191,10.707148,,,,,0,legacy
77,3.666667,far,,498.000,361.000,3.323735,7.889055,,,,,0,legacy
78,3.714286,near,,517.000,435.000,3.574539,10.775091,,,,,0,legacy
78,3.714286,far,,498.000,363.000,3.322731,7.978556,,,,,0,legacy
79,3.761905,near,,516.000,435.000,3.559635,10.775091,,,,,0,legacy
79,3.761905,far,,496.000,361.000,3.289390,7.889055,,,,,0,legacy
80,3.809524,near,,517.000,432.000,3.577209,10.672994,,,,,0,legacy
80,3.809524,far,,498.000,354.000,3.327316,7.569920,,,,,0,legacy
81,3.857143,near,,514.000,430.000,3.533889,10.604317,,,,,0,legacy
81,3.857143,far,,496.000,352.000,3.293366,7.477020,,,,,0,legacy
