frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
67,3.190476,near,2.533000,7.768000,7.768000,2.533000
67,3.190476,far,1.168000,5.241000,5.241000,1.168000
68,3.238095,near,2.368000,7.844000,7.844000,2.368000
68,3.238095,far,1.023000,5.299000,5.299000,1.023000
69,3.285714,near,2.114000,7.920000,7.920000,2.114000
69,3.285714,far,1.174000,5.392000,5.392000,1.174000
70,3.333333,near,2.301000,8.035000,8.035000,2.301000
70,3.333333,far,1.173000,5.442000,5.442000,1.173000
71,3.380952,near,1.696000,8.050000,8.050000,1.696000
71,3.380952,far,1.335000,5.535000,5.535000,1.335000
72,3.428571,near,1.623000,8.136000,8.136000,1.623000
72,3.428571,far,2.078000,5.765000,5.765000,2.078000
73,3.476190,near,1.687000,8.250000,8.250000,1.687000
73,3.476190,far,2.392000,5.924000,5.924000,2.392000
74,3.523810,near,1.739000,8.341000,8.341000,1.739000
74,3.523810,far,2.355000,5.972000,5.972000,2.355000
75,3.571429,near,1.808000,8.437000,8.437000,1.808000
75,3.571429,far,2.185000,6.016000,6.016000,2.185000
76,3.619048,near,2.468000,8.740000,8.740000,2.468000
76,3.619048,far,2.070000,6.034000,6.034000,2.070000
77,3.666667,near,2.837000,8.861000,8.861000,2.837000
77,3.666667,far,1.982000,6.101000,6.101000,1.982000
78,3.714286,near,2.825000,8.943000,8.943000,2.825000
78,3.714286,far,1.492000,6.191000,6.191000,1.492000
79,3.761905,near,2.479000,8.958000,8.958000,2.479000
79,3.761905,far,1.268000,6.286000,6.286000,1.268000
80,3.809524,near,2.523000,9.062000,9.062000,2.523000
80,3.809524,far,2.226000,6.608000,6.608000,2.226000
81,3.857143,near,2.470000,9.143000,9.143000,2.470000
81,3.857143,far,2.416000,6.707000,6.707000,2.416000
82,3.904762,near,1.657000,9.214000,9.214000,1.657000
82,3.904762,far,3.516000,7.038000,7.038000,3.516000
83,3.952381,near,1.366000,9.251000,9.251000,1.366000
83,3.952381,far,3.278000,7.038000,7.038000,3.278000
84,4.000000,near,1.239000,9.297000,9.297000,1.239000
84,4.000000,far,2.965000,7.038000,7.038000,2.965000
85,4.047619,near,1.609000,9.418000,9.418000,1.609000
85,4.047619,far,3.684000,7.339000,7.339000,3.684000
86,4.095238,near,1.970000,9.625000,9.625000,1.970000
86,4.095238,far,2.740000,7.391000,7.391000,2.740000
87,4.142857,near,1.922000,9.692000,9.692000,1.922000
87,4.142857,far,2.394000,7.391000,7.391000,2.394000
88,4.190476,near,3.171000,10.120000,10.120000,3.171000
88,4.190476,far,1.714000,7.528000,7.528000,1.714000
89,4.238095,near,3.193000,10.163000,10.163000,3.193000
89,4.238095,far,2.731000,7.818000,7.818000,2.731000
90,4.285714,near,3.144000,10.195000,10.195000,3.144000
90,4.285714,far,4.154000,8.225000,8.225000,4.154000
91,4.333333,near,2.721000,10.195000,10.195000,2.721000
91,4.333333,far,3.101000,8.225000,8.225000,3.101000
92,4.380952,near,3.492000,10.622000,10.622000,3.492000
92,4.380952,far,3.611000,8.422000,8.422000,3.611000
93,4.428571,near,3.913000,10.810000,10.810000,3.913000
93,4.428571,far,3.980000,8.528000,8.528000,3.980000
