frame,time_s,role,track_id,x_px,y_px,court_x_m,court_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,source
97,4.619048,far,1,457.000,421.000,2.660400,3.178723,382.404,261.000,486.292,443.983,0.899374,detected
98,4.666667,near,,,,,,,,,,0.000000,missing
98,4.666667,far,1,441.000,433.000,2.506191,2.239360,368.681,261.000,477.032,451.409,0.903030,detected
99,4.714286,near,,,,,,,,,,0.000000,missing
99,4.714286,far,1,431.000,440.000,2.418996,1.752048,357.562,261.000,470.407,458.253,0.916503,detected
100,4.761905,near,,,,,,,,,,0.000000,missing
100,4.761905,far,1,419.000,448.000,2.321761,1.241587,350.466,261.117,466.476,465.409,0.915573,detected
101,4.809524,near,,,,,,,,,,0.000000,missing
101,4.809524,far,1,404.000,453.000,2.190300,0.947199,340.277,262.203,459.936,472.586,0.911377,detected
102,4.857143,near,,,,,,,,,,0.000000,missing
102,4.857143,far,1,386.000,478.000,2.128625,0.000000,327.300,279.406,448.126,490.345,0.914204,detected
103,4.904762,near,,,,,,,,,,0.000000,missing
103,4.904762,far,1,380.000,479.000,2.080184,0.000000,321.153,296.046,436.899,497.305,0.910568,detected
104,4.952381,near,,,,,,,,,,0.000000,missing
104,4.952381,far,1,375.000,481.000,2.045434,0.000000,316.729,306.640,427.465,499.553,0.920190,detected
105,5.000000,near,,,,,,,,,,0.000000,missing
105,5.000000,far,1,374.000,480.000,2.032178,0.000000,318.879,312.762,427.290,500.369,0.917607,detected
106,5.047619,near,,,,,,,,,,0.000000,missing
106,5.047619,far,1,374.000,480.000,2.032178,0.000000,319.813,316.809,426.643,500.563,0.915877,detected
107,5.095238,near,,,,,,,,,,0.000000,missing
107,5.095238,far,1,382.000,479.000,2.097717,0.000000,329.828,316.297,440.012,499.982,0.918513,detected
108,5.142857,near,,,,,,,,,,0.000000,missing
108,5.142857,far,1,386.000,478.000,2.128625,0.000000,336.751,312.519,453.393,499.620,0.913631,detected
109,5.190476,near,,,,,,,,,,0.000000,missing
109,5.190476,far,1,388.000,472.000,2.121012,0.000000,340.585,306.447,463.208,496.484,0.904350,detected
110,5.238095,near,,,,,,,,,,0.000000,missing
110,5.238095,far,1,393.000,463.000,2.127681,0.397917,346.291,300.903,471.954,490.093,0.914707,detected
111,5.285714,near,,,,,,,,,,0.000000,missing
111,5.285714,far,1,403.000,463.000,2.222502,0.395267,361.044,303.973,481.907,483.763,0.923363,detected
112,5.333333,near,,,,,,,,,,0.000000,missing
112,5.333333,far,1,422.000,467.000,2.414414,0.185344,381.893,307.962,496.370,481.945,0.891688,detected
113,5.380952,near,,,,,,,,,,0.000000,missing
113,5.380952,far,1,431.000,465.000,2.492691,0.284435,396.898,315.867,503.840,480.938,0.908804,detected
114,5.428571,near,,,,,,,,,,0.000000,missing
114,5.428571,far,1,438.000,464.000,2.555901,0.334063,402.400,308.483,510.412,480.162,0.870627,detected
115,5.476190,near,,,,,,,,,,0.000000,missing
115,5.476190,far,1,452.000,458.000,2.677572,0.650084,411.912,297.859,523.849,479.630,0.909912,detected
